symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2025-07-17 12:40:00+00:00,624.64,624.72,624.62,624.65,6785.0,120.0,624.654499
SPY,2025-07-17 12:41:00+00:00,624.66,624.69,624.6,624.69,3925.0,109.0,624.652469
SPY,2025-07-17 12:42:00+00:00,624.65,624.69,624.58,624.62,3726.0,73.0,624.667581
SPY,2025-07-17 12:43:00+00:00,624.69,624.85,624.68,624.85,10977.0,174.0,624.745285
SPY,2025-07-17 12:44:00+00:00,624.9,624.91,624.84,624.84,7873.0,146.0,624.88293
SPY,2025-07-17 12:45:00+00:00,624.87,624.91,624.77,624.77,6798.0,96.0,624.821436
SPY,2025-07-17 12:46:00+00:00,624.79,624.84,624.79,624.84,1873.0,60.0,624.831461
SPY,2025-07-17 12:47:00+00:00,624.81,624.83,624.78,624.79,8491.0,88.0,624.809761
SPY,2025-07-17 12:48:00+00:00,624.84,624.93,624.84,624.93,5601.0,92.0,624.886087
SPY,2025-07-17 12:49:00+00:00,624.91,624.98,624.91,624.97,12851.0,145.0,624.956723
SPY,2025-07-17 12:50:00+00:00,624.97,625.0,624.93,624.93,8520.0,185.0,624.965805
SPY,2025-07-17 12:51:00+00:00,624.91,625.02,624.9,625.02,5249.0,77.0,624.942664
SPY,2025-07-17 12:52:00+00:00,624.98,625.1,624.98,625.06,14057.0,215.0,625.068159
SPY,2025-07-17 12:53:00+00:00,625.09,625.2306,625.09,625.2306,9487.0,181.0,625.147109
SPY,2025-07-17 12:54:00+00:00,625.25,625.41,625.25,625.41,10589.0,158.0,625.327132
SPY,2025-07-17 12:55:00+00:00,625.37,625.41,625.3,625.31,37771.0,297.0,625.378531
SPY,2025-07-17 12:56:00+00:00,625.31,625.31,625.17,625.2,10438.0,145.0,625.232798
SPY,2025-07-17 12:57:00+00:00,625.19,625.2596,625.19,625.19,5304.0,85.0,625.201368
SPY,2025-07-17 12:58:00+00:00,625.21,625.3,625.21,625.3,2845.0,58.0,625.258269
SPY,2025-07-17 12:59:00+00:00,625.35,625.35,625.31,625.34,2940.0,73.0,625.340462
SPY,2025-07-17 13:00:00+00:00,625.34,625.35,625.23,625.24,13438.0,151.0,625.292912
